index,period,attendances
987,2017-01-01,1741
988,2017-01-01,9088
989,2017-01-01,6687
990,2017-01-01,3429
991,2017-01-01,3561
992,2017-01-01,122
993,2017-01-01,2445
994,2017-01-01,10450
995,2017-01-01,1643
996,2017-01-01,520
997,2017-01-01,7728
998,2017-01-01,236
999,2017-01-01,5315
1000,2017-01-01,1285
1001,2017-01-01,8906
1002,2017-01-01,816
1003,2017-01-01,1585
1004,2017-01-01,837
1005,2017-01-01,9158
1006,2017-01-01,1247
1007,2017-01-01,5580
1008,2017-01-01,1345
1009,2017-01-01,7798
1010,2017-01-01,602
1011,2017-01-01,5570
1012,2017-01-01,5818
1013,2017-01-01,936
1014,2017-01-01,3550
1015,2017-01-01,282
1016,2017-01-01,1333
1017,2017-01-01,6219
1018,2017-01-01,1131
1019,2017-01-01,4541
1020,2017-01-01,1838
1021,2017-01-01,4396
1022,2017-01-01,7711
1023,2017-01-01,8135
1024,2017-01-01,5198
1025,2017-01-01,146
1026,2017-01-01,5994
1027,2017-01-01,1320
1028,2017-01-01,5863
1029,2017-01-01,2460
1030,2017-01-01,8230
1031,2017-01-01,1351
1032,2017-01-01,8566
1033,2017-01-01,1668
1034,2017-01-01,10512
1035,2017-01-01,1053
1036,2017-01-01,4073
1037,2017-01-01,2600
1038,2017-01-01,2016
1039,2017-01-01,3051
1040,2017-01-01,1257
1041,2017-01-01,3812
1042,2016-12-01,21096
1043,2016-12-01,560
1044,2016-12-01,3383
1045,2016-12-01,29522
1046,2016-12-01,594
1047,2016-12-01,11112
1048,2016-12-01,4435
1049,2016-12-01,18545
1050,2016-12-01,16931
1051,2016-12-01,7679
1052,2016-12-01,6551
1053,2016-12-01,3826
1054,2016-12-01,1244
1055,2016-12-01,2777
1056,2016-12-01,12585
1057,2016-12-01,383
1058,2016-12-01,12254
1059,2016-12-01,671
1060,2016-12-01,2621
1061,2016-12-01,3690
1062,2016-12-01,10278
1063,2016-12-01,4668
1064,2016-12-01,9996
1065,2016-12-01,3472
1066,2016-12-01,10846
1067,2016-12-01,17326
1068,2016-12-01,1914
1069,2016-12-01,5066
1070,2016-12-01,9191
1071,2016-12-01,888
1072,2016-12-01,18393
1073,2016-12-01,5750
1074,2016-12-01,12163
1075,2016-12-01,17439
1076,2016-12-01,7183
1077,2016-12-01,4404
1078,2016-12-01,14918
1079,2016-12-01,758
1080,2016-12-01,390
1081,2016-12-01,486
1082,2016-12-01,19157
1083,2016-12-01,3329
1084,2016-12-01,1997
1085,2016-12-01,12785
1086,2016-12-01,1364
1087,2016-12-01,2491
1088,2016-12-01,5868
1089,2016-12-01,7993
1090,2016-12-01,3212
1091,2016-12-01,3847
1092,2016-12-01,8238
1093,2016-12-01,11196
1094,2016-12-01,10188
1095,2016-12-01,2474
1096,2016-12-01,5021
1097,2016-12-01,11910
1098,2016-12-01,6147
1099,2016-12-01,3324
1100,2016-12-01,5297
1101,2016-12-01,5228
1102,2016-12-01,4045
1103,2016-12-01,9127
1104,2016-12-01,2957
1105,2016-12-01,6708
